"Record.ID","e","word","accuracy"
"BUBA080","eng","knocker",0
"BUBA080","eng","pelican",0
"BUBA080","eng","stethoscope",0
"BUBA080","eng","pyramid",0
"BUBA080","eng","muzzle",0
"BUBA080","eng","unicorn",0
"BUBA080","eng","funnel",0
"BUBA080","eng","accordion",0
"BUBA080","eng","noose",0
"BUBA080","eng","asparagus",0
"BUBA080","eng","compass",0
"BUBA080","eng","latch",0
"BUBA080","eng","tripod",0
"BUBA080","eng","scroll",0
"BUBA080","eng","tongs",0
"BUBA080","eng","sphinx",0
"BUBA080","eng","yoke",0
"BUBA080","eng","trellis",0
"BUBA080","eng","palette",0
"BUBA080","eng","protractor",0
"BUBA080","eng","abacus",0
"BUBA083","eng","bed",1
"BUBA083","eng","tree",1
"BUBA083","eng","pencil",1
"BUBA083","eng","house",1
"BUBA083","eng","whistle",0
"BUBA083","eng","scissors",0
"BUBA083","eng","comb",0
"BUBA083","eng","flower",1
"BUBA083","eng","saw",0
"BUBA083","eng","toothbrush",0
"BUBA083","eng","helicopter",0
"BUBA083","eng","broom",0
"BUBA083","eng","octopus",0
"BUBA083","eng","mushroom",0
"BUBA083","eng","hanger",0
"BUBA083","eng","wheelchair",0
"BUBA083","eng","camel",0
"BUBA083","eng","mask",0
"BUBA083","eng","pretzel",0
"BUBA083","eng","bench",0
"BUBA083","eng","raquet",0
"BUBA083","eng","snail",0
"BUBA083","eng","volcano",0
"BUBA083","eng","seahorse",0
"BUBA083","eng","dart",0
"BUBA083","eng","canoe",0
"BUBA083","eng","globe",0
"BUBA083","eng","wreath",0
"BUBA083","eng","beaver",0
"BUBA083","eng","harmonica",0
"BUBA083","eng","rhinoceros",0
"BUBA083","eng","acorn",0
"BUBA083","eng","igloo",0
"BUBA083","eng","stilts",0
"BUBA083","eng","dominos",0
"BUBA083","eng","cactus",0
"BUBA083","eng","escalator",0
"BUBA083","eng","harp",0
"BUBA083","eng","hammock",0
"BUBA083","eng","knocker",0
"BUBA083","eng","pelican",0
"BUBA083","eng","stethoscope",0
"BUBA083","eng","pyramid",0
"BUBA083","eng","muzzle",0
"BUBA083","eng","unicorn",0
"BUBA083","eng","funnel",0
"BUBA083","eng","accordion",0
"BUBA083","eng","noose",0
"BUBA083","eng","asparagus",0
"BUBA083","eng","compass",0
"BUBA083","eng","latch",0
"BUBA083","eng","tripod",0
"BUBA083","eng","scroll",0
"BUBA083","eng","tongs",0
"BUBA083","eng","sphinx",0
"BUBA083","eng","yoke",0
"BUBA083","eng","trellis",0
"BUBA083","eng","palette",0
"BUBA083","eng","protractor",0
"BUBA083","eng","abacus",0
"BUBA084","eng","bed",1
"BUBA084","eng","tree",1
"BUBA084","eng","pencil",1
"BUBA084","eng","house",1
"BUBA084","eng","whistle",1
"BUBA084","eng","scissors",1
"BUBA084","eng","comb",1
"BUBA084","eng","flower",1
"BUBA084","eng","saw",1
"BUBA084","eng","toothbrush",1
"BUBA084","eng","helicopter",1
"BUBA084","eng","broom",1
"BUBA084","eng","octopus",1
"BUBA084","eng","mushroom",1
"BUBA084","eng","hanger",1
